Rank,Game,Platform,Publisher,Total_Sales,Na_Sales,Pal_Sales,Japan_Sales,Other_Sales,Year
64,Gran Turismo 5,PS3,Sony Computer Entertainment  ,10.75,2.96,4.87,0.81,2.1,2010
65,Call of Duty: Modern Warfare 2,PS3,Activision  ,10.61,4.99,3.66,0.38,1.59,2009
66,Grand Theft Auto IV,PS3,Rockstar Games  ,10.57,4.79,3.73,0.44,1.62,2008
67,Super Mario All-Stars,SNES,Nintendo  ,10.55,5.99,2.15,2.12,0.29,1993
68,Pokémon FireRed / LeafGreen Version,GBA,Nintendo  ,10.49,4.34,2.65,3.15,0.35,2004
69,Call of Duty: Ghosts,X360,Activision  ,10.41,6.76,2.64,0.04,0.98,2013
70,Uncharted 4: A Thief's End,PS4,Sony Interactive Entertainment  ,10.33,4.49,3.93,0.21,1.7,2016
71,Super Mario 64 DS,DS,Nintendo  ,10.32,5.01,3.08,1.25,0.97,2004
72,Just Dance 3,Wii,Ubisoft  ,10.14,5.95,3.13,0.0,1.06,2011
73,Call of Duty: Ghosts,PS3,Activision  ,10.13,4.11,4.01,0.39,1.62,2013
74,Halo: Reach,X360,Microsoft Game Studios  ,9.97,7.08,2.01,0.08,0.8,2010
75,Halo 4,X360,Microsoft Studios  ,9.96,6.72,2.36,0.04,0.83,2012
76,Mario Kart 64,N64,Nintendo  ,9.87,5.55,1.94,2.23,0.15,1997
77,Minecraft,X360,Microsoft Studios  ,9.82,5.96,2.94,0.02,0.9,2013
78,Final Fantasy VII,PS,Sony Computer Entertainment  ,9.72,3.01,2.47,3.28,0.96,1997
79,Gran Turismo 2,PS,Sony Computer Entertainment  ,9.49,3.88,3.42,1.69,0.5,1999
80,The Legend of Zelda: Breath of the Wild,NS,Nintendo  ,9.46,4.54,2.94,1.26,0.73,2017
81,Just Dance 2,Wii,Ubisoft  ,9.45,5.8,2.86,0.01,0.77,2010
82,Call of Duty 4: Modern Warfare,X360,Activision  ,9.41,5.98,2.39,0.13,0.91,2007
83,Call of Duty: Black Ops IIII,PS4,Activision  ,9.32,4.05,3.28,0.5,1.49,2018
84,Donkey Kong Country,SNES,Nintendo  ,9.3,4.36,1.71,3.0,0.23,1994
85,FIFA 19,PS4,Electronic Arts  ,9.15,0.84,6.87,0.1,1.34,2018
86,Super Smash Bros. Ultimate,NS,Nintendo  ,8.95,4.22,1.72,2.41,0.61,2018
87,Mario Party DS,DS,Nintendo  ,8.93,4.4,1.86,1.98,0.69,2007
88,The Elder Scrolls V: Skyrim,X360,Bethesda Softworks  ,8.88,5.1,2.83,0.1,0.85,2011
89,Super Mario Kart,SNES,Nintendo  ,8.76,3.54,1.24,3.81,0.18,1992
90,Marvel's Spider-Man,PS4,Sony Interactive Entertainment  ,8.76,3.64,3.39,0.32,1.41,2018
91,Grand Theft Auto V,XOne,Rockstar Games  ,8.72,4.7,3.25,0.01,0.76,2014
92,Halo 2,XB,Microsoft Game Studios  ,8.49,6.82,1.53,0.05,0.08,2004
93,Call of Duty: Infinite Warfare,PS4,Activision  ,8.48,3.11,3.83,0.19,1.36,2016
94,Fallout 4,PS4,Bethesda Softworks  ,8.48,2.91,3.97,0.27,1.34,2015
95,Wii Party,Wii,Nintendo  ,8.41,1.75,3.51,2.49,0.66,2010
96,Super Smash Bros. for 3DS,3DS,Nintendo  ,8.32,3.73,1.5,2.55,0.54,2014
97,Mario Party 8,Wii,Nintendo  ,8.3,3.74,2.27,1.58,0.7,2007
98,FIFA 16,PS4,EA Sports  ,8.22,1.15,5.77,0.07,1.23,2015
99,Pokémon Black 2 and White 2,DS,Nintendo  ,8.16,2.79,1.79,3.16,0.43,2012
100,GoldenEye 007,N64,Nintendo  ,8.09,5.8,2.01,0.13,0.15,1997
101,Final Fantasy X,PS2,Square  ,8.05,2.91,2.07,2.73,0.33,2001
102,Star Wars Battlefront (2015),PS4,Electronic Arts  ,8.03,3.31,3.19,0.23,1.3,2015
103,FIFA 13,PS3,EA Sports  ,8.01,1.07,5.13,0.13,1.68,2012
104,Mario & Sonic at the Olympic Games,Wii,Sega  ,8.0,2.57,3.87,0.66,0.9,2007
105,The Sims 3,PC,Electronic Arts  ,7.96,1.01,6.46,0.0,0.5,2009
106,Final Fantasy VIII,PS,Square EA  ,7.86,2.28,1.72,3.63,0.23,1999
107,Pac-Man,2600,Atari  ,7.81,7.28,0.45,0.0,0.08,1982
108,Pokémon Platinum Version,DS,Nintendo  ,7.72,2.76,1.73,2.69,0.54,2009
109,Grand Theft Auto: Liberty City Stories,PSP,Rockstar Games  ,7.72,2.9,2.83,0.24,1.74,2005
110,Mario Kart 8,WiiU,Nintendo  ,7.69,3.22,2.55,1.39,0.54,2014
111,The Legend of Zelda: Ocarina of Time,N64,Nintendo  ,7.6,4.1,1.89,1.45,0.16,1998
112,Crash Bandicoot 2: Cortex Strikes Back,PS,Sony Computer Entertainment  ,7.58,3.78,2.17,1.31,0.31,1997
113,Super Mario Galaxy 2,Wii,Nintendo  ,7.57,3.59,2.37,0.98,0.62,2010
114,Call of Duty: Advanced Warfare,PS4,Activision  ,7.53,2.84,3.34,0.14,1.22,2014
115,Call of Duty: World at War,X360,Activision  ,7.5,4.88,1.91,0.0,0.71,2008
116,Super Mario Bros. 2,NES,Nintendo  ,7.46,5.39,1.18,0.7,0.19,1988
117,Call of Duty: Black Ops 3,XOne,Activision  ,7.37,4.63,2.04,0.02,0.68,2015
118,Battlefield 3,X360,Electronic Arts  ,7.35,4.47,2.12,0.06,0.69,2011
119,Battlefield 1,PS4,Electronic Arts  ,7.26,2.2,3.65,0.29,1.12,2016
120,Battlefield 3,PS3,Electronic Arts  ,7.21,2.86,2.94,0.35,1.07,2011
121,Just Dance,Wii,Ubisoft  ,7.21,3.48,2.99,0.0,0.73,2009
122,Need for Speed Underground,PS2,Electronic Arts  ,7.2,3.27,2.83,0.08,1.02,2003
123,The Legend of Zelda: Twilight Princess,Wii,Nintendo  ,7.18,3.74,2.16,0.6,0.69,2006
124,Tekken 3,PS,Namco  ,7.16,3.27,2.22,1.4,0.29,1998
125,Pokémon: Ultra Sun and Ultra Moon,3DS,Nintendo  ,7.15,2.46,1.74,2.55,0.4,2017
126,Crash Bandicoot 3: Warped,PS,Sony Computer Entertainment  ,7.13,3.68,1.75,1.42,0.28,1998
127,Super Smash Bros. Melee,GC,Nintendo  ,7.07,4.41,1.04,1.39,0.22,2001
128,Splatoon 2,NS,Nintendo  ,7.04,1.9,1.8,3.01,0.34,2017
129,Mario Kart: Double Dash!!,GC,Nintendo  ,6.95,4.12,1.77,0.87,0.19,2003
130,Need for Speed Underground 2,PS2,Electronic Arts  ,6.9,2.71,3.02,0.08,1.09,2004
131,Just Dance 4,Wii,Ubisoft  ,6.89,4.05,2.21,0.0,0.62,2012
132,Uncharted 3: Drake's Deception,PS3,Sony Computer Entertainment  ,6.84,2.77,2.81,0.19,1.06,2011
133,Medal of Honor: Frontline,PS2,Electronic Arts  ,6.83,2.93,2.75,0.17,0.99,2002
134,Crash Bandicoot,PS,Sony Computer Entertainment  ,6.82,3.23,2.35,0.94,0.3,1996
135,The Last of Us Remastered,PS4,Sony Computer Entertainment  ,6.77,2.7,2.86,0.11,1.1,2014
136,Zumba Fitness,Wii,Majesco  ,6.76,3.47,2.62,0.0,0.67,2010
137,Gears of War 2,X360,Microsoft Game Studios  ,6.75,4.15,1.91,0.06,0.64,2008
138,Uncharted 2: Among Thieves,PS3,Sony Computer Entertainment  ,6.74,3.28,2.22,0.21,1.02,2009
139,Call of Duty 4: Modern Warfare,PS3,Activision  ,6.72,3.13,2.27,0.28,1.04,2007
140,FIFA Soccer 12,PS3,EA Sports  ,6.65,0.84,4.33,0.11,1.37,2011
141,Big Brain Academy,DS,Nintendo  ,6.63,1.66,2.75,1.6,0.62,2006
142,FIFA 14,PS3,EA Sports  ,6.61,0.79,4.77,0.07,0.98,2013
143,Red Dead Redemption,PS3,Rockstar Games  ,6.57,2.82,2.58,0.17,1.0,2011
144,The Legend of Zelda,NES,Nintendo  ,6.51,3.74,0.93,1.69,0.14,1987
145,Donkey Kong Country Returns,Wii,Nintendo  ,6.5,3.19,1.81,1.03,0.47,2010
146,Assassin's Creed III,PS3,Ubisoft  ,6.5,2.65,2.61,0.16,1.08,2012
147,Red Dead Redemption,X360,Rockstar Games  ,6.5,3.77,2.03,0.09,0.6,2010
148,The Elder Scrolls V: Skyrim,PS3,Bethesda Softworks  ,6.49,2.57,2.68,0.25,0.99,2011
149,Halo: Combat Evolved,XB,Microsoft  ,6.43,4.98,1.3,0.08,0.07,2001
150,Pokémon Emerald Version,GBA,Nintendo  ,6.41,2.57,1.58,2.06,0.21,2005
151,Kingdom Hearts,PS2,Square EA  ,6.4,3.64,1.2,1.49,0.07,2002
152,Pokémon Crystal Version,GBC,Nintendo  ,6.39,2.55,1.56,1.29,0.99,2001
153,World of Warcraft,PC,Blizzard Entertainment  ,6.35,0.12,6.24,0.0,0.0,2004
154,Halo 3: ODST,X360,Microsoft Game Studios  ,6.35,4.34,1.34,0.06,0.61,2009
155,Minecraft,PS4,Sony Computer Entertainment  ,6.33,1.89,3.13,0.35,0.96,2014
