Rank,Game,Platform,Publisher,Total_Sales,Na_Sales,Pal_Sales,Japan_Sales,Other_Sales,Year
4388,Bass Pro Shops: The Strike,Wii,XS Games  ,0.48,0.44,0.0,0.0,0.04,2009
4389,Dark Sector,X360,D3 Publisher  ,0.48,0.22,0.2,0.01,0.05,2008
4390,Zoo Tycoon (2013),XOne,Microsoft Studios  ,0.48,0.25,0.18,0.0,0.04,2013
4391,Tiger Woods PGA Tour 07,X360,EA Sports  ,0.48,0.44,0.0,0.0,0.04,2006
4392,Far Cry 2,PC,Ubisoft  ,0.48,0.01,0.45,0.0,0.02,2008
4393,Wu-Tang: Shaolin Style,PS,Activision  ,0.48,0.27,0.18,0.0,0.03,1999
4394,Transformers: Revenge of the Fallen,Wii,Activision  ,0.48,0.24,0.2,0.0,0.05,2009
4395,Wolfenstein: The New Order,PC,Bethesda Softworks  ,0.48,0.15,0.3,0.0,0.04,2014
4396,A Way Out,PS4,Electronic Arts  ,0.48,0.23,0.16,0.0,0.08,2018
4397,The Saboteur,PS3,Electronic Arts  ,0.48,0.2,0.21,0.0,0.07,2009
4398,Crash of the Titans,DS,Sierra Entertainment  ,0.48,0.42,0.02,0.0,0.04,2007
4399,Disney Epic Mickey 2: The Power of Two,PS3,Disney Interactive Studios  ,0.48,0.21,0.19,0.0,0.08,2012
4400,Secret Weapons Over Normandy,PS2,LucasArts  ,0.48,0.24,0.18,0.0,0.06,2003
4401,Scrabble 2007 Edition,DS,Ubisoft  ,0.48,0.0,0.48,0.0,0.0,2007
4402,All-Star Baseball 99,N64,Acclaim Entertainment  ,0.48,0.44,0.04,0.0,0.0,1998
4403,Harvest Moon 64,N64,Natsume  ,0.48,0.25,0.06,0.11,0.06,1999
4404,NCAA Football 09,PS2,EA Sports  ,0.48,0.4,0.02,0.0,0.07,2008
4405,Rayman Raving Rabbids: TV Party,DS,Ubisoft  ,0.48,0.44,0.01,0.0,0.04,2008
4406,Bratz: The Movie,PS2,THQ  ,0.48,0.24,0.18,0.0,0.06,2007
4407,Friday the 13th: The Game,PS4,Gun Media  ,0.48,0.29,0.09,0.03,0.08,2017
4408,Steep,XOne,Ubisoft  ,0.48,0.24,0.2,0.0,0.04,2016
4409,Batman: Arkham Origins Blackgate,PSV,Warner Bros. Interactive Entertainment  ,0.48,0.16,0.21,0.0,0.11,2013
4410,Vigilante 8: 2nd Offense,PS,Activision  ,0.48,0.27,0.18,0.0,0.03,1999
4411,Crazy Taxi: Fare Wars,PSP,Sega  ,0.48,0.1,0.23,0.02,0.13,2007
4412,Sonic Lost World,3DS,Sega  ,0.48,0.22,0.15,0.07,0.04,2013
4413,Theme Park Roller Coaster,PS2,Electronic Arts  ,0.48,0.23,0.18,0.0,0.06,2000
4414,Thief,XOne,Square Enix  ,0.48,0.26,0.17,0.0,0.04,2014
4415,The Walking Dead: A Telltale Games Series,PS4,Telltale Games  ,0.48,0.12,0.26,0.03,0.07,2014
4416,Alice in Wonderland,DS,Disney Interactive Studios  ,0.48,0.25,0.18,0.0,0.05,2010
4417,NFL Xtreme 2,PS,989 Studios  ,0.48,0.27,0.18,0.0,0.03,1999
4418,Doom 3 BFG Edition,X360,Bethesda Softworks  ,0.48,0.28,0.15,0.0,0.04,2012
4419,Midnight Club: Street Racing,GBA,"Destination Software, Inc  ",0.48,0.34,0.13,0.0,0.01,2001
4420,Tom Clancy's The Division,PC,Ubisoft  ,0.48,0.26,0.18,0.0,0.04,2016
4421,Euro Truck Simulator,PC,SCS Software  ,0.48,0.0,0.43,0.0,0.04,2013
4422,Tiger Woods PGA Tour 06,XB,EA Sports  ,0.48,0.35,0.11,0.0,0.02,2005
4423,Go Diego Go! Great Dinosaur Rescue,DS,2K Play  ,0.48,0.43,0.01,0.0,0.03,2008
4424,Children of Mana,DS,Nintendo  ,0.48,0.16,0.01,0.29,0.01,2006
4425,FIFA World Cup Germany 2006,X360,EA Sports  ,0.48,0.19,0.27,0.01,0.0,2006
4426,Up,PS2,THQ  ,0.48,0.19,0.05,0.0,0.24,2009
4427,Wolfenstein: The Old Blood,PS4,Bethesda Softworks  ,0.48,0.13,0.25,0.02,0.07,2015
4428,Grand Prix,2600,Activision  ,0.48,0.45,0.03,0.0,0.0,1982
4429,Just Dance 2014,XOne,Ubisoft  ,0.48,0.31,0.12,0.0,0.04,2013
4430,EA Sports UFC,XOne,Electronic Arts  ,0.48,0.3,0.13,0.0,0.04,2014
4431,World of Outlaws: Sprint Cars 2002,PS2,Infogrames  ,0.48,0.23,0.18,0.0,0.06,2002
4432,BioShock: The Collection,XOne,2K Games  ,0.48,0.35,0.08,0.0,0.05,2016
4433,LEGO The Hobbit,PS3,Warner Bros. Interactive Entertainment  ,0.47,0.12,0.28,0.0,0.07,2014
4434,Fantavision,PS2,Sony Computer Entertainment  ,0.47,0.14,0.11,0.19,0.04,2000
4435,Double Dragon,2600,Activision  ,0.47,0.45,0.02,0.0,0.01,1989
4436,Alien Trilogy,PS,Acclaim Entertainment  ,0.47,0.24,0.16,0.04,0.03,1997
4437,NBA Live 99,N64,EA Sports  ,0.47,0.45,0.02,0.0,0.0,1998
4438,Karate,2600,Unknown  ,0.47,0.44,0.03,0.0,0.0,1980
4439,Spider-Man 3,Wii,Activision  ,0.47,0.42,0.02,0.0,0.04,2007
4440,Luigi's Mansion,3DS,Nintendo  ,0.47,0.19,0.16,0.09,0.03,2018
4441,Dynasty Warriors Gundam,PS3,Namco Bandai  ,0.47,0.14,0.01,0.31,0.02,2007
4442,X-Men: Next Dimension,PS2,Activision  ,0.47,0.23,0.18,0.0,0.06,2002
4443,The Godfather (JP sales),PS2,Electronic Arts  ,0.47,0.39,0.02,0.0,0.06,2006
4444,Cars: Race-O-Rama,DS,THQ  ,0.47,0.35,0.09,0.0,0.04,2009
4445,World of Warcraft: Warlords of Draenor,PC,Activision Blizzard  ,0.47,0.08,0.36,0.0,0.03,2014
4446,Dark Sector,PS3,D3 Publisher  ,0.47,0.23,0.16,0.01,0.07,2008
4447,James Bond 007: Blood Stone,X360,Activision  ,0.47,0.2,0.23,0.0,0.05,2010
4448,Super Puyo Puyo 2,SNES,Compile  ,0.47,0.0,0.0,0.47,0.0,1995
4449,Gauntlet Legends,PS,Midway Games  ,0.47,0.26,0.18,0.0,0.03,2000
4450,Jurassic World Evolution,PS4,Frontier Developments  ,0.47,0.14,0.25,0.0,0.08,2018
4451,Ford Racing Off Road,Wii,Empire Interactive  ,0.47,0.06,0.4,0.0,0.01,2008
4452,WipEout,PS,Psygnosis  ,0.47,0.26,0.18,0.0,0.03,1995
4453,NBA Live 07,X360,EA Sports  ,0.47,0.43,0.0,0.0,0.04,2006
4454,F.E.A.R. 2: Project Origin,PS3,Warner Bros. Interactive  ,0.47,0.19,0.2,0.01,0.08,2009
4455,ICO,PS2,Sony Computer Entertainment  ,0.47,0.23,0.18,0.0,0.06,2001
4456,Silent Hill: Downpour,PS3,Konami  ,0.47,0.21,0.16,0.04,0.06,2012
4457,Unreal Tournament III,X360,Midway Games  ,0.47,0.25,0.17,0.01,0.05,2008
4458,Microsoft Flight Simulator X,PC,Microsoft Game Studios  ,0.47,0.02,0.41,0.0,0.04,2006
4459,Dragon Quest 25 Shuunen Kinin: Famicom & Super Famicom Dragon Quest I-II-III,Wii,Square Enix  ,0.47,0.0,0.0,0.47,0.0,2011
4460,The Sims 2: Pets,Wii,Electronic Arts  ,0.47,0.41,0.03,0.0,0.04,2007
4461,2010 FIFA World Cup South Africa,PSP,EA Sports  ,0.47,0.09,0.23,0.03,0.12,2010
4462,Dragon Ball: Xenoverse 2,XOne,Namco Bandai Games  ,0.47,0.33,0.09,0.0,0.05,2016
4463,Victorious Boxers: Ippo's Road to Glory,PS2,Empire Interactive  ,0.47,0.05,0.04,0.38,0.01,2001
4464,MySims Racing,Wii,Electronic Arts  ,0.47,0.19,0.23,0.0,0.05,2009
4465,Densetsu no Stafi,GBA,Nintendo  ,0.47,0.0,0.0,0.46,0.01,2002
4466,Valkyrie Profile 2: Silmeria,PS2,Square Enix  ,0.47,0.04,0.03,0.39,0.01,2006
4467,Hot Wheels Velocity X,PS2,THQ  ,0.47,0.23,0.18,0.0,0.06,2002
4468,Dragon Age Origins: Awakening,X360,Electronic Arts  ,0.47,0.33,0.1,0.0,0.04,2010
4469,Inazuma Eleven 3: Sekai e no Chousen!! The Ogre,DS,Level 5  ,0.47,0.0,0.0,0.47,0.0,2010
4470,Shadowrun (2007),X360,Microsoft Game Studios  ,0.47,0.41,0.02,0.0,0.04,2007
4471,Jake Power: Fireman,DS,Ubisoft  ,0.47,0.08,0.34,0.0,0.05,2009
4472,L.A. Rush,PS2,Midway Games  ,0.47,0.23,0.18,0.0,0.06,2005
4473,Dead Space Extraction,Wii,Electronic Arts  ,0.47,0.32,0.1,0.01,0.04,2009
4474,Automobili Lamborghini,N64,Titus  ,0.47,0.28,0.17,0.0,0.01,1997
4475,Bomberman Hero,N64,Nintendo  ,0.47,0.27,0.06,0.08,0.05,1998
4476,Doom 64,N64,Midway Games  ,0.47,0.38,0.08,0.0,0.01,1997
4477,Momotarou Dentetsu V,PS,Hudson Entertainment  ,0.47,0.0,0.0,0.44,0.03,1999
4478,Quest 64,N64,THQ  ,0.47,0.38,0.08,0.0,0.01,1998
4479,Crash: Mind Over Mutant,X360,Activision  ,0.47,0.22,0.2,0.0,0.05,2008
4480,Commando,2600,Activision  ,0.47,0.44,0.02,0.0,0.0,1988
4481,Viva Pinata: Trouble in Paradise,X360,Microsoft Game Studios  ,0.47,0.16,0.25,0.01,0.05,2008
4482,NBA Ballers: Phenom,PS2,Midway Games  ,0.47,0.23,0.18,0.0,0.06,2006
4483,Rise of Nightmares,X360,Sega  ,0.47,0.28,0.13,0.01,0.04,2011
4484,Need for Speed Carbon,XB,Electronic Arts  ,0.47,0.35,0.1,0.0,0.02,2006
4485,Payday 2,PS3,505 Games  ,0.47,0.24,0.15,0.0,0.08,2013
4486,Silent Hill: Shattered Memories,Wii,Konami  ,0.47,0.22,0.19,0.01,0.05,2009
4487,FlingSmash,Wii,Nintendo  ,0.47,0.37,0.01,0.07,0.02,2010
4488,Emergency Heroes,Wii,Ubisoft  ,0.47,0.14,0.27,0.0,0.05,2008
4489,Deadpool,PS4,Activision  ,0.47,0.26,0.13,0.0,0.08,2015
4490,Active Life: Extreme Challenge,Wii,Namco Bandai  ,0.47,0.14,0.27,0.0,0.06,2009
4491,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS4,Square Enix  ,0.47,0.05,0.09,0.3,0.03,2017
4492,MTV Music Generator,PS,Codemasters  ,0.47,0.26,0.18,0.0,0.03,1999
4493,Football Manager 2015,PC,Sega  ,0.47,0.0,0.44,0.0,0.03,2014
4494,Hamsterz Life,DS,Ubisoft  ,0.47,0.43,0.01,0.0,0.04,2006
4495,"Warhammer 40,000: Dawn of War II",PC,THQ  ,0.47,0.0,0.45,0.0,0.01,2009
4496,Super Momotarou Dentetsu DX,SNES,Hudson Soft  ,0.47,0.0,0.0,0.47,0.0,1995
4497,World Soccer Winning Eleven 8: Liveware Evolution,PS2,Konami  ,0.47,0.0,0.0,0.47,0.0,2005
4498,TrackMania Turbo,PS4,Ubisoft  ,0.47,0.04,0.35,0.0,0.07,2016
4499,Madden NFL 17,X360,EA Sports  ,0.47,0.37,0.05,0.0,0.05,2016
4500,Cars: Race-O-Rama,PS2,THQ  ,0.47,0.27,0.03,0.0,0.17,2009
4501,Final Fantasy Crystal Chronicles: Echoes of Time,DS,Square Enix  ,0.47,0.12,0.06,0.27,0.02,2009
4502,Downhill Domination,PS2,Sony Computer Entertainment  ,0.47,0.23,0.18,0.0,0.06,2003
4503,Detective Pikachu,3DS,Nintendo  ,0.47,0.15,0.17,0.12,0.03,2018
4504,Pirates of the Caribbean: Dead Man's Chest,GBA,Buena Vista  ,0.47,0.33,0.12,0.0,0.01,2006
4505,Knack 2,PS4,Sony Interactive Entertainment  ,0.47,0.14,0.25,0.01,0.07,2017
4506,Spider-Man: Friend or Foe,DS,Activision  ,0.47,0.43,0.0,0.0,0.04,2007
4507,Spider-Man 3,DS,Activision  ,0.47,0.41,0.02,0.0,0.04,2007
4508,Just Dance 2014,PS4,Ubisoft  ,0.47,0.21,0.18,0.0,0.08,2013
4509,Inazuma Eleven Go: Chrono Stone - Wildfire / Thunderflash,3DS,Level 5  ,0.47,0.0,0.01,0.46,0.0,2012
4510,Deadpool,PS3,Activision  ,0.47,0.23,0.16,0.0,0.08,2013
4511,World Series of Poker,PS2,Activision  ,0.47,0.39,0.01,0.0,0.06,2005
4512,NHL 97,PS,EA Sports  ,0.47,0.26,0.18,0.0,0.03,1996
4513,Kong: The 8th Wonder of the World,GBA,Ubisoft  ,0.47,0.33,0.12,0.0,0.01,2005
4514,Two Worlds II,PS3,SouthPeak Interactive  ,0.47,0.26,0.1,0.06,0.04,2011
4515,Sonic Mania,NS,Sega  ,0.47,0.23,0.18,0.01,0.04,2017
4516,Dead or Alive 4,X360,Tecmo  ,0.47,0.3,0.03,0.1,0.03,2005
4517,Godzilla: Save the Earth,PS2,Atari  ,0.47,0.23,0.18,0.0,0.06,2004
4518,Petz Sports,Wii,Ubisoft  ,0.47,0.42,0.01,0.0,0.04,2008
4519,Dance Dance Revolution: Mario Mix,GC,Nintendo  ,0.47,0.36,0.09,0.0,0.01,2005
4520,Farming Simulator 19,PS4,Focus Home Interactive  ,0.47,0.13,0.26,0.0,0.07,2018
4521,Metal Gear Solid: The Twin Snakes,GC,Konami  ,0.47,0.3,0.08,0.07,0.01,2004
4522,Tiger Woods PGA Tour 07,Wii,EA Sports  ,0.47,0.43,0.0,0.0,0.04,2007
4523,FIFA Soccer 13,PSV,EA Sports  ,0.46,0.0,0.32,0.05,0.1,2012
4524,Mat Hoffman's Pro BMX 2,PS2,Activision  ,0.46,0.23,0.18,0.0,0.06,2002
4525,Metal Gear Solid: The Essential Collection,PS2,Konami  ,0.46,0.23,0.18,0.0,0.06,2008
4526,Rayman Legends,X360,Ubisoft  ,0.46,0.19,0.24,0.0,0.04,2013
4527,ARK: Survival Evolved,XOne,Studio Wildcard  ,0.46,0.3,0.12,0.0,0.04,2017
4528,MX vs. ATV: Alive,PS3,THQ  ,0.46,0.24,0.15,0.0,0.07,2011
4529,SimCity Creator,Wii,Electronic Arts  ,0.46,0.36,0.03,0.04,0.04,2008
4530,Harry Potter and the Order of the Phoenix,Wii,Electronic Arts  ,0.46,0.38,0.05,0.0,0.04,2007
4531,Iridion 3D,GBA,Majesco  ,0.46,0.33,0.12,0.0,0.01,2001
4532,Syphon Filter: Logan's Shadow,PSP,Sony Computer Entertainment  ,0.46,0.25,0.12,0.0,0.09,2007
4533,FIFA Soccer 12,PC,EA Sports  ,0.46,0.04,0.33,0.0,0.09,2011
4534,Classic NES Series: Pac-Man,GBA,Nintendo  ,0.46,0.25,0.09,0.12,0.01,2004
4535,Imagine: Figure Skater (US sales),DS,Ubisoft  ,0.46,0.46,0.01,0.0,0.0,2008
4536,Destroy All Humans!,XB,THQ  ,0.46,0.34,0.11,0.0,0.02,2005
4537,Dragon Ball Z: Collectible Card Game,GBA,Infogrames  ,0.46,0.33,0.12,0.0,0.01,2002
4538,Circus Atari,2600,Atari  ,0.46,0.43,0.03,0.0,0.0,2078
4539,Dissidia Final Fantasy NT,PS4,Square Enix  ,0.46,0.19,0.06,0.16,0.05,2018
4540,WWE 2K16,X360,Take-Two Interactive  ,0.46,0.29,0.13,0.0,0.04,2015
4541,Disney Infinity 3.0,XOne,Disney Interactive Studios  ,0.46,0.3,0.12,0.0,0.04,2015
4542,Razor Freestyle Scooter,PS,Crave Entertainment  ,0.46,0.26,0.17,0.0,0.03,2000
4543,Brothers In Arms: D-Day,PSP,Ubisoft  ,0.46,0.23,0.14,0.0,0.09,2006
4544,Disney's Kim Possible 3: Team Possible,GBA,Disney Interactive Studios  ,0.46,0.33,0.12,0.0,0.01,2005
4545,Rygar: The Legendary Adventure,PS2,Tecmo  ,0.46,0.2,0.15,0.06,0.05,2002
4546,Super Batter Up,SNES,Namco  ,0.46,0.0,0.0,0.46,0.0,1992
4547,Kessen II,PS2,KOEI  ,0.46,0.13,0.1,0.2,0.03,2001
4548,Tomb Raider: Legend,PSP,Eidos Interactive  ,0.46,0.09,0.25,0.0,0.12,2006
4549,Crayon Shin-Chan: Arashi o Yobu Enji,SNES,Bandai  ,0.46,0.0,0.0,0.46,0.0,1993
4550,Stuart Little 2,GBA,Activision  ,0.46,0.33,0.12,0.0,0.01,2002
4551,Red Faction: Armageddon,PS3,THQ  ,0.46,0.2,0.15,0.03,0.07,2011
4552,Nickelodeon Team Umizoomi,DS,2K Play  ,0.46,0.42,0.0,0.0,0.04,2011
4553,Tak 2: The Staff of Dreams,GBA,THQ  ,0.46,0.33,0.12,0.0,0.01,2004
4554,Battlefield: Hardline,PS3,Electronic Arts  ,0.46,0.15,0.17,0.08,0.06,2015
4555,SingStar Amped,PS2,Sony Computer Entertainment  ,0.46,0.23,0.18,0.0,0.06,2007
4556,Tales of Vesperia,PS3,Namco Bandai  ,0.46,0.0,0.0,0.46,0.0,2009
4557,Brothers In Arms: Earned In Blood,PS2,Ubisoft  ,0.46,0.38,0.01,0.0,0.06,2005
4558,Need for Speed: Hot Pursuit,Wii,Electronic Arts  ,0.46,0.17,0.24,0.0,0.05,2010
4559,Mario Sports Superstars,3DS,Nintendo  ,0.46,0.18,0.12,0.13,0.03,2017
4560,Dragon Ball Z: Sagas,PS2,Atari  ,0.46,0.38,0.01,0.0,0.06,2005
4561,Scooby-Doo,GBA,THQ  ,0.46,0.33,0.12,0.0,0.01,2001
4562,Hydro Thunder,PS,Midway Games  ,0.46,0.26,0.17,0.0,0.03,2000
4563,Crayola: Treasure Adventures,DS,Crave Entertainment  ,0.46,0.42,0.01,0.0,0.03,2007
4564,The Princess and the Frog,Wii,Disney Interactive Studios  ,0.46,0.29,0.13,0.0,0.04,2009
4565,NHL FaceOff '97,PS,Sony Computer Entertainment  ,0.46,0.26,0.17,0.0,0.03,1996
4566,The Legend of Spyro: Dawn of the Dragon,DS,Vivendi Games  ,0.46,0.26,0.15,0.0,0.05,2008
4567,WWE SmackDown vs. Raw 2011,Wii,THQ  ,0.46,0.29,0.13,0.0,0.04,2010
4568,Brothers In Arms: Road to Hill 30,PS2,Ubisoft  ,0.46,0.38,0.01,0.0,0.06,2005
4569,Minecraft: Story Mode - The Complete Adventure,NS,Telltale Games  ,0.46,0.27,0.15,0.0,0.04,2017
4570,State of Decay 2,XOne,Microsoft Studios  ,0.46,0.27,0.14,0.0,0.04,2018
4571,Gremlins,2600,Atari  ,0.46,0.43,0.03,0.0,0.0,1984
4572,The Mark of Kri,PS2,Sony Computer Entertainment  ,0.46,0.22,0.18,0.0,0.06,2002
4573,LEGO DC Super-Villains,PS4,Warner Bros. Interactive Entertainment  ,0.46,0.22,0.17,0.0,0.08,2018
4574,Jampack Winter 2003 (RP-M),PS2,Sony Computer Entertainment  ,0.46,0.22,0.18,0.0,0.06,2003
4575,Mega Man Star Force 3: Black Ace / Red Joker,DS,Capcom  ,0.46,0.22,0.0,0.22,0.02,2009
4576,Rugrats: Castle Capers,GBA,THQ  ,0.46,0.33,0.12,0.0,0.01,2001
4577,Crash Nitro Kart,GBA,Vivendi Games  ,0.46,0.33,0.12,0.0,0.01,2003
4578,Mass Effect Trilogy,PS3,Electronic Arts  ,0.46,0.37,0.0,0.0,0.09,2012
4579,Wolfenstein: The New Order,PS3,Bethesda Softworks  ,0.46,0.14,0.22,0.02,0.07,2014
4580,Boom Blox Bash Party,Wii,Electronic Arts  ,0.46,0.33,0.09,0.0,0.04,2009
4581,Jak and Daxter: The Lost Frontier,PS2,Sony Computer Entertainment  ,0.46,0.22,0.17,0.0,0.06,2009
4582,Momotarou Dentetsu 11,PS2,Hudson Soft  ,0.46,0.0,0.0,0.46,0.0,2002
4583,MX vs. ATV Untamed,PS3,THQ  ,0.46,0.35,0.06,0.0,0.05,2007
4584,Hyrule Warriors: Definitive Edition,NS,Nintendo  ,0.46,0.21,0.15,0.07,0.03,2018
4585,Star Wars: Demolition,PS,LucasArts  ,0.46,0.25,0.17,0.0,0.03,2000
4586,Bloody Roar II,PS,Sony Computer Entertainment  ,0.46,0.25,0.17,0.0,0.03,1999
4587,Delta Force: Black Hawk Down,PS2,NovaLogic  ,0.46,0.22,0.17,0.0,0.06,2005
4588,Space Invaders,SNES,Nintendo  ,0.46,0.0,0.0,0.46,0.0,1997
4589,.hack//Outbreak Part 3,PS2,Bandai  ,0.46,0.14,0.11,0.17,0.04,2003
4590,Mother 1+2,GBA,Nintendo  ,0.46,0.0,0.0,0.45,0.01,2003
4591,Top Spin,XB,Microsoft Game Studios  ,0.46,0.36,0.08,0.0,0.02,2003
4592,The Golden Compass,X360,Sega  ,0.46,0.3,0.12,0.0,0.04,2007
4593,Dora the Explorer: Dora Saves the Snow Princess,DS,2K Play  ,0.46,0.26,0.16,0.0,0.04,2008
4594,Country Dance 2,Wii,GameMill  ,0.46,0.43,0.0,0.0,0.03,2011
4595,Warhawk,PS,Sony Computer Entertainment  ,0.46,0.25,0.17,0.0,0.03,1995
4596,ATV Offroad Fury Pro,PSP,Sony Computer Entertainment  ,0.46,0.37,0.04,0.0,0.04,2006
4597,LEGO The Hobbit,X360,Warner Bros. Interactive Entertainment  ,0.46,0.2,0.22,0.0,0.04,2014
4598,2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,GBA,THQ  ,0.45,0.33,0.12,0.0,0.01,2005
4599,Billiards,PS,Agetec  ,0.45,0.0,0.0,0.45,0.0,2001
4600,Missile Command,PS,Hasbro Interactive  ,0.45,0.25,0.17,0.0,0.03,1999
4601,Harvest Moon DS (US sales),DS,Natsume  ,0.45,0.4,0.05,0.0,0.0,2006
4602,Tomb Raider: Underworld,Wii,Eidos Interactive  ,0.45,0.13,0.27,0.0,0.05,2008
4603,Jikkyou Powerful Pro Yakyuu 3,SNES,Konami  ,0.45,0.0,0.0,0.45,0.0,1996
4604,We Sing Encore,Wii,Nordic Games  ,0.45,0.0,0.4,0.0,0.05,2010
4605,Naruto Shippuden: Ultimate Ninja Storm Revolution,PS3,Namco Bandai Games  ,0.45,0.16,0.15,0.09,0.06,2014
4606,Jikkyou Powerful Pro Yakyuu 12,PS2,Konami  ,0.45,0.0,0.0,0.45,0.0,2005
4607,Enter the Matrix,GC,Atari  ,0.45,0.34,0.09,0.02,0.01,2003
4608,Dead or Alive: Dimensions,3DS,Tecmo Koei  ,0.45,0.13,0.22,0.07,0.03,2011
4609,God Eater 2,PSV,Namco Bandai Games  ,0.45,0.0,0.0,0.45,0.0,2013
4610,Scooby-Doo! and the Spooky Swamp,Wii,Warner Bros. Interactive  ,0.45,0.29,0.13,0.0,0.04,2010
4611,NASCAR 2005: Chase for the Cup,XB,EA Sports  ,0.45,0.34,0.1,0.0,0.02,2004
4612,Skylanders: SuperChargers,PS4,Activision  ,0.45,0.29,0.09,0.0,0.08,2015
4613,J-League Excite Stage '95,SNES,Epoch  ,0.45,0.0,0.0,0.45,0.0,1995
4614,Bleach: The Blade of Fate,DS,Sega  ,0.45,0.29,0.01,0.12,0.03,2007
4615,Band Hero,DS,Activision  ,0.45,0.22,0.19,0.0,0.05,2009
4616,Vin Diesel: Wheelman,X360,Ubisoft  ,0.45,0.24,0.17,0.0,0.04,2009
4617,Phantasy Star Online Episode I & II,GC,Sega  ,0.45,0.23,0.06,0.16,0.01,2002
4618,The Powerpuff Girls: Relish Rampage,PS2,BAM! Entertainment  ,0.45,0.22,0.17,0.0,0.06,2002
4619,Attack on Titan: The Last Wings of Mankind,3DS,Spike Chunsoft  ,0.45,0.0,0.0,0.45,0.0,2013
4620,iCarly,Wii,Activision  ,0.45,0.42,0.0,0.0,0.03,2009
4621,American Girl: Kit Mystery Challenge!,DS,THQ  ,0.45,0.42,0.0,0.0,0.03,2008
4622,The Chronicles of Riddick: Escape From Butcher Bay,XB,VU Games  ,0.45,0.32,0.11,0.0,0.02,2004
4623,NFL Head Coach,PS2,EA Sports  ,0.45,0.38,0.01,0.0,0.06,2006
4624,Burnout Dominator,PSP,Electronic Arts  ,0.45,0.02,0.38,0.01,0.05,2007
4625,Despicable Me: The Game - Minion Mayhem,DS,D3 Publisher  ,0.45,0.37,0.05,0.0,0.03,2010
4626,The Sims 3: Ambitions,PC,Electronic Arts  ,0.45,0.0,0.29,0.0,0.16,2010
4627,Ghostbusters,2600,Activision  ,0.45,0.42,0.03,0.0,0.0,1985
4628,NHL 15,X360,EA Sports  ,0.45,0.35,0.05,0.0,0.05,2014
4629,NCAA Gamebreaker 99,PS,989 Studios  ,0.45,0.25,0.17,0.0,0.03,1998
4630,Area 51,PS2,Midway Games  ,0.45,0.22,0.17,0.0,0.06,2005
4631,Barbie as The Island Princess,Wii,Activision  ,0.45,0.42,0.0,0.0,0.03,2007
4632,World Stadium 2,PS,Namco  ,0.45,0.0,0.0,0.42,0.03,1998
4633,Enemy Territory: Quake Wars,X360,Activision  ,0.45,0.3,0.11,0.0,0.04,2008
4634,The New York Times Crosswords,DS,Majesco  ,0.45,0.42,0.0,0.0,0.03,2007
4635,NHL 2005,PS2,EA Sports  ,0.45,0.22,0.17,0.0,0.06,2004
4636,Dynasty Warriors: Strikeforce,PSP,Tecmo Koei  ,0.45,0.03,0.02,0.38,0.02,2009
4637,Karaoke Revolution Presents American Idol Encore,Wii,Konami  ,0.45,0.42,0.0,0.0,0.03,2008
4638,Brain Challenge,DS,Ubisoft  ,0.45,0.41,0.01,0.0,0.03,2008
4639,Star Wars Jedi Knight: Jedi Academy,XB,LucasArts  ,0.45,0.34,0.1,0.0,0.02,2003
4640,Major League Baseball 2K11,X360,2K Sports  ,0.45,0.4,0.03,0.0,0.03,2011
4641,Phoenix,2600,Atari  ,0.45,0.42,0.02,0.0,0.0,1982
4642,Lego Batman 3: Beyond Gotham,WiiU,Warner Bros. Interactive Entertainment  ,0.45,0.21,0.21,0.0,0.04,2014
4643,Command & Conquer: Red Alert 3,X360,Bethesda Softworks  ,0.45,0.18,0.23,0.0,0.05,2008
4644,F.E.A.R. 3,PS3,Warner Bros. Interactive  ,0.45,0.21,0.16,0.01,0.07,2011
4645,Crash of the Titans,Wii,Sierra Entertainment  ,0.45,0.39,0.02,0.0,0.03,2007
4646,Terraria,PS3,505 Games  ,0.45,0.09,0.21,0.09,0.06,2013
4647,Apocalypse,PS,Activision  ,0.45,0.25,0.17,0.0,0.03,1998
4648,Fable Anniversary,X360,Microsoft Studios  ,0.45,0.26,0.15,0.01,0.04,2014
4649,Yu-Gi-Oh! Destiny Board Traveler,GBA,Konami  ,0.45,0.32,0.12,0.0,0.01,2004
4650,My Fashion Studio,DS,Ubisoft  ,0.45,0.41,0.01,0.0,0.03,2008
4651,L.A. Noire,NS,Rockstar Games  ,0.45,0.21,0.21,0.0,0.04,2017
4652,The Sims 3: Outdoor Living Stuff,PC,Electronic Arts  ,0.45,0.0,0.38,0.0,0.07,2011
4653,Yakuza Kiwami,PS4,Sega  ,0.45,0.13,0.07,0.21,0.04,2017
4654,World Soccer Winning Eleven 5 Final Evolution,PS2,Konami  ,0.45,0.0,0.0,0.45,0.0,2001
4655,Sphinx and the Cursed Mummy,PS2,THQ  ,0.45,0.22,0.17,0.0,0.06,2003
4656,Fatal Fury 2,SNES,Takara  ,0.45,0.0,0.0,0.45,0.0,1994
4657,Pokémon Pinball: Ruby & Sapphire (JP weekly sales),GBA,Nintendo  ,0.45,0.0,0.0,0.44,0.01,2003
4658,Pokémon Puzzle League,N64,Nintendo  ,0.45,0.36,0.08,0.0,0.01,2000
4659,Rampage World Tour,N64,Midway Games  ,0.45,0.36,0.08,0.0,0.01,1998
